id;name;phone;email;cif
1;Isle;(136) 856-9565;Lauriane.Hartmann47@yahoo.com;drive Generic Enterprise-wide
2;Representative;1-722-679-0691 x7954;Otis22@yahoo.com;mobile Steel
3;Corporate;(317) 109-8955;Tomasa40@gmail.com;Technician Central
4;standardization Buckinghamshire Refined Fresh Towels;(164) 306-0576 x3815;Cheyanne.Borer@yahoo.com;District French Southern Territories
5;middleware next-generation;(333) 412-3280;Thalia_Kunze38@hotmail.com;Extensions Kentucky
6;Re-contextualized;(831) 834-5886;Lexi.Kunde@hotmail.com;mint green
7;Alley;523.251.2503 x0839;Maureen35@hotmail.com;monitor Montserrat Seamless
8;withdrawal structure;659-423-5558 x2133;Eudora_Hodkiewicz49@hotmail.com;RAM Auto Loan Account Russian Ruble
9;Gorgeous Frozen Shoes regional Response;433.741.1919;Jeramy3@yahoo.com;blue tan
10;virtual navigate;1-040-670-5408;Holden_Ferry@hotmail.com;Paradigm
