id;title;content;seen;date
1;Rustic bleeding-edge;../fake-data/blob/hipster.txt;true;2021-02-11T07:07:57
2;1080p;../fake-data/blob/hipster.txt;false;2021-02-10T18:59:25
3;USB;../fake-data/blob/hipster.txt;true;2021-02-10T15:17:55
4;Granite;../fake-data/blob/hipster.txt;true;2021-02-10T15:55:24
5;next-generation viral Tasty Wooden Towels;../fake-data/blob/hipster.txt;true;2021-02-10T17:52:18
6;Tuna invoice Credit Card Account;../fake-data/blob/hipster.txt;true;2021-02-11T02:23:53
7;synergies synthesizing invoice;../fake-data/blob/hipster.txt;false;2021-02-11T09:38:46
8;Virtual workforce;../fake-data/blob/hipster.txt;true;2021-02-11T08:00:26
9;stable asymmetric;../fake-data/blob/hipster.txt;false;2021-02-11T04:30:56
10;alarm generate;../fake-data/blob/hipster.txt;false;2021-02-11T10:49:28
