id;name;price;description;building_type;service_type;ref;visible;sold;terrace;m_2;number_bedroom;elevator;furnished;pool;garage;number_wc;ac
1;compress Borders;536;../fake-data/blob/hipster.txt;HOUSE;SALE;Expressway Car;true;true;false;5124;12107;true;false;false;true;43550;true
2;Investment Account exploit;3377;../fake-data/blob/hipster.txt;STUDIO;RENT_AND_SALE;Auto Loan Account mesh Euro;true;true;false;75275;71569;true;false;false;true;67445;true
3;incubate Granite;5603;../fake-data/blob/hipster.txt;FLAT;SALE;Markets Coordinator portals;false;false;false;56802;56815;true;false;false;false;95628;false
4;Tuna bypassing green;86795;../fake-data/blob/hipster.txt;HOUSE;RENT_AND_SALE;deposit aggregate bluetooth;false;true;false;10507;77318;false;true;false;true;17551;false
5;USB;15487;../fake-data/blob/hipster.txt;STUDIO;RENT_AND_SALE;Fantastic Concrete Bike;false;true;true;56854;51333;true;true;true;false;95755;false
6;Baby Hawaii;91245;../fake-data/blob/hipster.txt;STUDIO;RENT;Fish superstructure;true;false;false;31489;14889;true;false;false;true;22215;true
7;Accounts parsing Guyana;94224;../fake-data/blob/hipster.txt;FLAT;SALE;mission-critical invoice Georgia;false;false;false;20318;83807;true;true;true;false;65727;true
8;cross-media JBOD productize;23152;../fake-data/blob/hipster.txt;FLAT;SALE;Small Steel;false;false;true;66549;29118;false;true;true;true;21119;false
9;Central Hills Manager;61458;../fake-data/blob/hipster.txt;HOUSE;RENT_AND_SALE;markets Centralized;false;false;false;36000;60889;true;true;false;true;68167;true
10;Latvia Music Supervisor;986;../fake-data/blob/hipster.txt;FLAT;RENT;Agent Fresh Serbia;true;false;true;45041;55985;true;true;true;true;65174;true
